timestamp,joint_L_0,joint_L_1,joint_L_2,joint_L_3,joint_L_4,joint_L_5,gripper_L,joint_R_0,joint_R_1,joint_R_2,joint_R_3,joint_R_4,joint_R_5,gripper_R
1762509243.3116107,0.0,-1.2602731744435172,-0.4530833522465567,0.0,0.0,0.0,0.0,0.0,-1.2354232827809195,-0.5222216407444815,0.0,0.0,0.0,0.0
1762509243.3116267,0.0,-1.242594496407781,-0.4483080665257315,0.0,0.0,0.0,0.0,0.0,-1.2213143269207816,-0.521351889767919,0.0,0.0,0.0,0.0
1762509243.347839,0.0,-1.2273689667370657,-0.4459379474308829,0.0,0.0,0.0,0.0,0.0,-1.2063933173802237,-0.5209515849736075,0.0,0.0,0.0,0.0
1762509243.4044023,0.0,-1.1957431296494345,-0.4440921107914786,0.0,0.0,0.0,0.0,0.0,-1.1878076950695853,-0.5208962718632559,0.0,0.0,0.0,0.0
1762509243.7482276,0.0,-1.1732428530838828,-0.4429178992894034,0.0,0.0,0.0,0.0,0.0,-1.1839310685780386,-0.5232048789646964,0.0,0.0,0.0,0.0
1762509243.7482393,0.0,-1.1669349233296256,-0.45079882542160554,0.0,0.0,0.0,0.0,0.0,-1.1768740276482443,-0.5232003490116934,0.0,0.0,0.0,0.0
1762509243.7482464,0.0,-1.157896296181951,-0.45775850216415925,0.0,0.0,0.0,0.0,0.0,-1.1723377863552908,-0.5229445258763175,0.0,0.0,0.0,0.0
1762509243.7482524,0.0,-1.1452657441284995,-0.4627867499974112,0.0,0.0,0.0,0.0,0.0,-1.1698481301453452,-0.5210212031987052,0.0,0.0,0.0,0.0
1762509243.7482586,0.0,-1.1356597105648856,-0.46735699574020906,0.0,0.0,0.0,0.0,0.0,-1.166804746785436,-0.5200825492527823,0.0,0.0,0.0,0.0
1762509243.7482688,0.0,-1.1245949725296835,-0.47661741177109285,0.0,0.0,0.0,0.0,0.0,-1.16581387917069,-0.5201822082188468,0.0,0.0,0.0,0.0
1762509243.748274,0.0,-1.1085985461857657,-0.48334415356186433,0.0,0.0,0.0,0.0,0.0,-1.165252343812261,-0.5233991901066641,0.0,0.0,0.0,0.0
1762509243.74828,0.0,-1.099636004367147,-0.489766196408544,0.0,0.0,0.0,0.0,0.0,-1.1576141277935843,-0.5234835902836661,0.0,0.0,0.0,0.0
1762509243.7482853,0.0,-1.0883095125344138,-0.4961891929295401,0.0,0.0,0.0,0.0,0.0,-1.1519208709385733,-0.5253270427372794,0.0,0.0,0.0,0.0
1762509243.7482908,0.0,-1.0770598808911185,-0.5036893645909171,0.0,0.0,0.0,0.0,0.0,-1.1455645720150809,-0.529718236127172,0.0,0.0,0.0,0.0
1762509243.7482963,0.0,-1.0552000562336783,-0.5016654292729239,0.0,0.0,0.0,0.0,0.0,-1.1304122666504721,-0.5318415919926505,0.0,0.0,0.0,0.0
1762509243.7483015,0.0,-1.0276850024845938,-0.5006674091008048,0.0,0.0,0.0,0.0,0.0,-1.1163031617787222,-0.5356398383763175,0.0,0.0,0.0,0.0
1762509243.868967,0.0,-0.9992299834874014,-0.5039752284672598,0.0,0.0,0.0,0.0,0.0,-1.0975901941445212,-0.5382221500065665,0.0,0.0,0.0,0.0
1762509243.8689837,0.0,-0.9681986133244376,-0.5073273936894278,0.0,0.0,0.0,0.0,0.0,-1.075299427905355,-0.5413020412114005,0.0,0.0,0.0,0.0
